	cat1	cat1_name	cat2	cat2_name	cat3	cat3_name	영향도	근거	대응 및 준비 방향
	1	디자인	113	상세페이지	11301	상세페이지 디자인			
	1	디자인	113	상세페이지	11304	상세페이지·기획·촬영			
	1	디자인	113	상세페이지	11305	상세페이지 번역			
	1	디자인	113	상세페이지	11306	gif 이미지			
	1	디자인	106	PPT·인포그래픽	10603	스피드 PPT			
	1	디자인	106	PPT·인포그래픽	10601	PPT			
	1	디자인	106	PPT·인포그래픽	10602	인포그래픽			
	1	디자인	104	포토샵·파일변환	10402	보정·누끼·합성			
	1	디자인	104	포토샵·파일변환	10404	파일변환			
	1	디자인	105	일러스트	10501	개인용 일러스트			
	1	디자인	105	일러스트	10502	상업용 일러스트			
	1	디자인	105	일러스트	10503	메디컬 일러스트			
	1	디자인	105	일러스트	10505	제품 일러스트			
	1	디자인	105	일러스트	10506	지도·약도 일러스트			
	1	디자인	124	도면 제작·수정	12401	2D 도면 제작			
	1	디자인	124	도면 제작·수정	12406	도면 수정·변환			
	1	디자인	158	AI 디자인	15801	AI 실사·모델			
	1	디자인	158	AI 디자인	15802	AI 책 표지			
	1	디자인	158	AI 디자인	15803	AI 일러스트			
	1	디자인	158	AI 디자인	15804	AI 기타			
	1	디자인	126	VR·AR·게임	12605	도트·픽셀아트			
	1	디자인	126	VR·AR·게임	12601	게임용원화			
	1	디자인	126	VR·AR·게임	12603	VR·AR			
	1	디자인	126	VR·AR·게임	12604	게임 UI·UX			
	6	IT·프로그래밍	631	워드프레스	63101	워드프레스 신규 제작			
	6	IT·프로그래밍	631	워드프레스	63102	워드프레스 수정·유지보수			
	6	IT·프로그래밍	638	카페24	63802	카페24 신규 제작			
	6	IT·프로그래밍	638	카페24	63801	카페24 수정·유지보수			
	6	IT·프로그래밍	639	아임웹	63901	아임웹 신규 제작			
	6	IT·프로그래밍	639	아임웹	63902	아임웹 수정·유지보수			
	6	IT·프로그래밍	660	노션	66001	노션 신규 제작			
	6	IT·프로그래밍	660	노션	66002	노션 수정·유지보수			
	6	IT·프로그래밍	601	홈페이지 신규 제작	60113	홈페이지 자체 개발			
	6	IT·프로그래밍	601	홈페이지 신규 제작	60114	홈페이지 웹빌더			
	6	IT·프로그래밍	606	쇼핑몰 신규 제작	60611	쇼핑몰 자체 개발			
